
Workability: 78.96% with a weather window of 1 hour(s) and a limit of Sign. Wave Height (H_{m0}) [m] = 2.5

Table of monthly mean workability with a weather window of 1 hour(s) and a limit of Sign. Wave Height (H_{m0}) [m] = 2.5

Month      Mean Workability
---------  ------------------
January    58.01%
February   65.94%
March      74.54%
April      88.53%
May        94.19%
June       94.88%
July       95.89%
August     92.98%
September  84.64%
October    71.51%
November   64.76%
December   61.00%
